Xa1,Xa2,Xe1,Xe2,Xe3
6.787587040602457433e-01,6.543914004362577641e-01,5.719090402799609230e-02,4.525682216778262879e-01,4.206108798485446165e-01
2.574402120731061894e-01,5.474303268513405207e-01,9.103191183474570458e-01,3.447816947525679243e-01,3.045958593986077823e-01
3.607246159034293020e-01,5.535524096850528153e-01,6.106250268732531516e-01,7.426610242409588114e-01,6.233747469303905220e-01
5.236495812743789946e-01,4.303020678747081496e-01,4.421903367541207830e-01,4.845029771718556422e-02,6.467790800110424509e-01
6.259960951493532821e-01,4.691748662320975871e-01,7.817121065342813591e-01,5.710555222430603317e-01,3.502009443283731205e-01
4.823303832434953642e-01,5.889516463109841782e-01,5.594774569059879354e-02,2.285271334600885718e-01,9.574741897597338625e-01
5.648834948921842569e-01,6.006782608785027344e-01,2.021343474176086064e-01,8.263146943258026234e-02,4.877265850805360126e-01
6.202372418954892330e-01,5.194226038866158746e-01,7.029022515121904346e-01,5.739572297815243029e-02,6.776282768945057766e-01
4.477584581363722727e-01,6.355883316321505605e-01,1.809823842659635806e-01,1.306934540846949044e-02,3.224911713795682866e-01
4.005919104869873348e-01,5.174407492750887627e-01,3.754486123942387676e-01,9.898748575826643581e-02,4.142437970134170699e-01
5.304340457848477630e-01,6.951210299166042939e-01,5.448864697158112280e-01,2.667965452600417064e-01,4.594693229992315997e-01
3.513316966898683003e-01,5.648367402688173611e-01,6.799203252188512625e-01,3.670203759876211613e-01,7.128529033331182374e-01
5.899130137397988749e-01,5.286752505452206874e-01,9.567952648743571764e-02,5.503168093325242483e-01,8.937045229075628594e-01
4.833408732228142157e-01,5.294076410180930115e-01,5.567524568849827604e-01,1.018275708197915463e-01,9.463997658368296095e-01
6.703584696795094056e-01,5.177302236080361109e-01,3.755873585783338076e-01,6.561302431767769283e-01,1.018820599389588244e-01
5.979220179896699294e-01,6.076206168306343969e-01,9.664908664665423643e-01,5.663966678773671992e-01,8.170017005419465406e-01
