Xa1,Xa2,Xe1,Xe2,Xe3
6.534186136687594182e-01,6.406901474565465104e-01,9.131205122039353084e-01,3.826043765148383624e-01,9.358927722386487513e-01
5.962415562843780270e-01,5.417009633272914515e-01,6.230517401369755071e-01,3.447296209591010907e-01,1.739508367608936235e-01
4.384843756314940055e-01,6.659715358673963248e-01,1.555058828962744277e-01,8.155464410434198896e-02,3.871841472245801663e-01
4.789295563432482417e-01,6.211154262043595553e-01,6.456938175017011838e-01,9.837027107957930783e-01,1.172337401455345596e-01
3.504633799392144478e-01,4.182481771951369609e-01,3.311181330153369906e-01,8.205715689231380949e-01,8.602172388228476185e-01
5.245306256716117943e-01,5.530330541010088918e-01,8.906817853919396510e-01,8.668736357315206531e-01,7.710413855755994250e-01
6.600674295448374362e-01,3.959778623985339974e-01,1.582408551208533964e-01,6.184510617500991181e-01,4.622413063038779413e-01
6.392730337431746790e-01,5.283902209988202703e-01,6.411857641851385070e-01,3.010101488296824668e-01,8.001415051011950830e-02
4.488006224697461688e-01,5.467753139014532859e-01,5.953721489870273942e-01,1.266479148679219291e-01,8.012470630928436588e-01
5.588622183639471164e-01,6.305696174522837927e-01,4.616093641452043705e-01,2.443583391093010482e-01,6.484762041083259598e-01
4.232396499952297275e-01,3.593981626881070923e-01,2.730678354954555465e-01,1.286570598809263499e-01,4.223714870523864739e-02
5.252517108604702889e-01,4.321037200955759050e-01,1.730833571236995994e-01,2.520665896852158916e-02,1.961961245777971152e-01
5.671314292131944823e-01,4.631817148969879505e-01,6.048115032298645444e-01,9.970618407161907504e-01,3.264120872697098275e-01
4.530595211453477544e-01,4.650594515786699024e-01,7.190677899628377112e-01,3.964547452176220288e-01,8.426422136042166500e-02
4.969633989271859953e-01,6.335573772280890248e-01,3.356535091179417840e-01,3.085818384567887707e-01,9.051435354788116561e-01
5.488721251387623790e-01,4.651974933928107458e-01,8.753802209272433243e-01,7.302384494260462100e-01,8.854841719382003928e-01
4.863270726801938726e-01,5.370356746819749949e-01,3.126654300906139827e-02,5.590009138668545763e-01,8.754411925076799328e-02
5.120296451957834227e-01,4.629007315028907388e-01,3.502208649303861776e-01,1.324031026828136337e-01,9.845289836805219963e-01
4.548663342260638731e-01,5.860475077251443565e-01,1.081688984370738904e-01,3.407946368028297313e-01,4.176212639533436466e-01
4.818235822520182676e-01,4.398681942880265927e-01,7.864378849185748033e-01,8.597493849772116503e-01,4.559507970809915101e-01
6.208144582537660217e-01,6.663985068810929224e-01,9.930077096967854233e-01,5.419635813590661932e-02,2.616052901096899141e-03
5.361373632100431275e-01,3.485102853205068740e-01,4.744762960286336151e-01,3.747105576903991819e-01,9.664975511771678462e-02
4.240348987805926395e-01,5.397663177882505714e-01,5.740674932544691522e-01,9.284402759769155855e-01,5.908712470100239145e-01
4.932236985992191070e-01,4.889538530815178974e-01,1.170344610513779360e-01,1.888203999696146385e-01,4.491312610825463070e-01
4.797535240539066992e-01,4.514096426642135729e-01,5.103443681149059108e-01,5.031592560576446660e-01,9.177019611685084399e-01
3.828363458917692919e-01,4.949273891454692431e-01,1.424271826791353446e-01,9.366482065178096672e-01,2.561068620398851969e-01
5.247302881928949114e-01,4.586095930399659570e-01,2.487909048320161576e-01,9.711951516724376399e-01,4.394462092397023456e-01
3.190482691724421116e-01,3.482680242768844137e-01,9.309185455904533946e-01,2.075098298741810954e-01,2.495917023948620583e-01
4.360721319268603402e-01,5.159759146346722947e-01,9.441287090537888727e-01,4.870179906298096606e-01,2.026153049051149235e-01
7.919130814032464549e-01,5.309610398218483907e-01,7.114091995193552176e-01,5.377865196629737499e-01,2.816335898612154498e-01
7.136161546826336188e-01,4.295272579376280264e-01,3.161833067664220343e-01,5.193633991405063322e-01,2.358727578214032672e-01
